k,ranker_topk_precision,llm_filtered_precision,precision_gain_over_ranker_topk,vulnerable_verdict_precision,benign_verdict_precision,uncertain_rate,false_positive_reduction_within_topk,precision_at_10,precision_at_30,precision_at_50,dataset
10,0.8,1.0,0.19999999999999996,1.0,0.8333333333333334,0.1,1.0,0.8,0.8,0.8,devign
30,0.7,0.5,-0.19999999999999996,0.5,0.8235294117647058,0.16666666666666666,0.5555555555555556,0.8,0.7,0.7,devign
50,0.64,0.5714285714285714,-0.06857142857142862,0.5714285714285714,0.7391304347826086,0.26,0.6666666666666666,0.8,0.7,0.64,devign
10,0.4,0.5,0.09999999999999998,0.5,0.42857142857142855,0.1,0.8333333333333334,0.4,0.4,0.4,bigvul
30,0.26666666666666666,0.75,0.48333333333333334,0.75,0.2,0.2,0.9545454545454546,0.3,0.26666666666666666,0.26666666666666666,bigvul
50,0.22,0.5,0.28,0.5,0.18181818181818182,0.18,0.8974358974358975,0.3,0.3,0.22,bigvul
10,0.2,0.0,-0.2,0.0,0.4,0.4,0.875,0.2,0.2,0.2,diversevul
30,0.16666666666666666,0.25,0.08333333333333334,0.25,0.21052631578947367,0.23333333333333334,0.88,0.2,0.16666666666666666,0.16666666666666666,diversevul
50,0.22,0.42857142857142855,0.20857142857142855,0.42857142857142855,0.22580645161290322,0.24,0.8974358974358975,0.2,0.26666666666666666,0.22,diversevul
